audio,mfcc1_1,mfcc2_1,mfcc3_1,mfcc4_1,mfcc5_1,mfcc6_1,mfcc7_1,mfcc8_1,mfcc9_1,mfcc10_1,mfcc11_1,mfcc12_1,mfcc13_1,mfcc14_1,mfcc15_1,mfcc16_1,mfcc1_2,mfcc2_2,mfcc3_2,mfcc4_2,mfcc5_2,mfcc6_2,mfcc7_2,mfcc8_2,mfcc9_2,mfcc10_2,mfcc11_2,mfcc12_2,mfcc13_2,mfcc14_2,mfcc15_2,mfcc16_2,mfcc1_3,mfcc2_3,mfcc3_3,mfcc4_3,mfcc5_3,mfcc6_3,mfcc7_3,mfcc8_3,mfcc9_3,mfcc10_3,mfcc11_3,mfcc12_3,mfcc13_3,mfcc14_3,mfcc15_3,mfcc16_3,mfcc1_4,mfcc2_4,mfcc3_4,mfcc4_4,mfcc5_4,mfcc6_4,mfcc7_4,mfcc8_4,mfcc9_4,mfcc10_4,mfcc11_4,mfcc12_4,mfcc13_4,mfcc14_4,mfcc15_4,mfcc16_4,class
a0001,-33.92028095332475,-34.15875381628066,-31.615850502347215,-35.179294098718685,16.71144529945648,17.551056201658607,17.784639223386627,16.51672668289212,13.20398257838878,13.697345942030038,4.24478105165366,15.05683850163293,0.11380918383704478,-0.26824255990902884,-3.6741652875033277,-1.4165278246648143,-5.178771850301701,-3.0410626452857983,-0.8630334784416892,-1.6977683774238463,-5.180229565119208,-8.371932244155879,-2.5456587357078098,-7.450395953703422,-2.055764993932636,-4.281996449666724,-3.872048808575142,-3.2565324105873255,1.255597605077082,5.906846975729817,2.7670102161357097,4.152283078758534,0.08873522619890839,1.5287351833255387,0.21982875991701048,1.5395387533382265,3.473439639179122,5.726100608328601,5.482659929933256,4.811530126167651,-0.7961038573396585,-2.471360186290708,3.0444567555416393,-1.336826743668794,-3.4184052106661937,-2.158709016810224,-4.069580490698177,-1.0747356562092238,-4.318540461580467,-2.8363159528965283,-2.601004915765,-4.39684954481318,-2.8775118810753546,-5.574630783214915,-0.7423475526195713,-2.5295613710134077,-1.161240453159581,-2.671467436842426,-1.170915881024953,-0.08148410690445453,1.4010918033934165,1.9761786208279222,0.9170205445401313,4.718590322361109,-1
a0002,-29.040818434891595,-29.00884302819884,-29.47296749295919,-28.49862880258298,9.498290926366378,10.62643512417646,11.42737914685547,8.901476420601933,-7.967407412847293,-10.497889366680475,-9.51077517558585,-8.268387336545937,-2.1171362941688776,-2.478328378321314,-0.99087556297774,-1.0641426092514963,4.222005494695491,6.894750150786299,3.7850925631250214,5.58501139253091,-5.129276384530506,-2.9747550578260373,-4.549434520677372,-4.981629046211908,-6.8626870320658515,-9.442116089160908,-8.453227077878292,-9.47938820691841,7.354774015722307,5.944938482028233,3.5477484241661132,2.760023640912107,7.860098233433633,8.217543078218965,6.484054550225358,8.57420079515406,-4.457878932674135,-6.186697947091739,-2.9689164877871357,-3.918095142409001,-6.218412370408407,-11.31456553050908,-8.295304781463923,-8.506297521570678,-1.353141390648181,-0.7958153736862447,-2.1986038827364487,-1.009919947642301,1.7559404014924411,1.673723086514368,2.1739702659887414,2.110914090751708,-4.058697348608253,-5.014933666941599,-4.951995979504919,-1.1167447465212776,-6.541162683633169,-4.52025568136867,-7.264315757719574,-4.460451779096612,-1.5206276920785364,-1.6186786748327244,-2.5908207182086285,-0.2307711583559111,-1
a0003,-24.493620383111228,-32.764814946411626,-34.062084106035286,-33.16718938992086,-5.209083927764806,12.369561881619802,15.086483248981091,12.366331587784693,11.771317238871346,11.147165221323563,12.389093666548176,10.709199441238157,14.452768505248276,3.7297042707524786,0.6349898007345626,3.8845291216867994,-13.097138204480634,-0.8996222164134086,-4.353093429146464,-3.3527807301710366,-1.6936639365549,-4.897258905256746,-4.859224563409361,-3.3364738149147533,2.373739377830954,-4.945915377425889,-1.7449611203653423,-2.94190280884604,-3.762771573616012,1.1777368462085647,3.2660690338846616,1.4447094897579118,5.000994883926531,5.818298274472563,4.919061284154915,6.186965997008307,19.989589089163605,4.427695907274787,3.2372278577041134,5.066137907661688,-4.086753374947401,3.2645369372642135,2.6895089593385046,2.3383857432681063,-10.097278789821246,2.424560143489914,2.410215050677772,0.8730685892611328,-0.7348617367380348,1.4562964109525922,0.7313280554491336,1.4881930107849783,6.741253197647777,0.9072088057617727,1.366470126958114,1.4368373021341154,6.761038944407054,0.5842626495434092,0.2447884320468527,0.41293531013792245,-4.284498213811385,0.155138073828804,0.44396474329272545,0.6164477953729568,-1
a0004,-27.12510772433414,-28.704028801451116,-27.74548310783498,-27.89880215095727,18.724482256248365,18.254602711311858,16.320759506481767,15.446347506519656,-1.0946744196946467,2.2638860953681297,-1.0925979539423516,0.8307536135005065,-4.8873229931075235,-6.9560907321976,-4.497107486610743,-4.942473202333166,-9.28870760593491,-6.004706334523174,-6.770256492035151,-7.698536919429566,7.254974320676417,4.398594037845229,5.450834341862714,7.242681119775044,11.367048497651876,11.942488347140332,8.980867012714002,8.226809710919508,4.590582116721627,7.905328891460574,5.3251630326753805,6.360896481741128,-0.8640730244730996,-0.15385428390973213,2.237759585615655,3.067667361480752,-2.2629322819656092,1.0069643595922595,2.1708808589980837,-3.9025418487226267,-2.4104495215112927,-0.3229765772855399,-1.9778726445422712,-3.291847346022026,-0.6066690717386142,-0.6854670766087407,-1.464531609691873,0.3590696653415879,-1.0324070009048039,-0.41530240338926183,-1.3319682784350135,0.19875880712207433,0.508443896200449,-2.1123838690157206,1.6936424296788999,0.0338093469640665,2.032780798142912,-0.12196342587355792,1.7308711411995379,2.161165675493129,-0.13304778451344734,-1.2188769181819383,0.5346014976181948,-0.12676930370570355,-1
a0005,-26.848443734598554,-26.07551147853385,-23.27804177985899,-25.994447232413446,28.853831641407652,20.676365663911863,14.026353890610936,17.575365654901418,5.770117931133452,13.751829944447472,18.447297566816154,17.781737942916564,8.994262884199955,5.479326107405718,6.277545911174358,3.395100625300648,0.5029862536497274,2.5576640124677326,4.788734599972533,9.668941966633222,-7.583156361399032,-3.1374201653022253,0.5228939093026232,-3.3335717091601,-4.594605398568327,-6.539149079442662,-0.8152047413734248,3.387748680252378,-0.07260731115284966,0.8336287978683059,4.040363190465653,0.8317798352085052,0.966047351907982,-3.059927317070583,-3.694789136513218,0.3240066952376753,-1.7610431606544443,0.12459485949772094,-1.687294002653372,-3.0157425348276576,-7.128996473473956,-3.2646980606167837,-6.730328711668384,-4.113690376728186,-5.629815543127084,-5.777622195966372,-2.4924485876133815,-2.4376080764293273,-4.308863028559753,-2.139447504339505,-3.095309768064471,-0.7695842033367479,-3.5164996877431145,-5.905552346159341,-3.162156983133419,-2.7921038228760278,-3.2389736832233713,-2.1826348862747214,-3.2615818010870448,-2.2810340424482978,-5.445074139742965,-2.8862221225270974,-0.7726068507703012,-2.3414428676730803,-1
a0006,-25.566237320752485,-26.251867651735612,-26.56804449697092,-25.129057145050282,19.625787010400508,19.485897625570157,19.652684751814515,18.37947305255876,4.1002631730237855,4.073856708663154,5.705572241989087,4.950209093004114,7.114764189711553,6.635695880921781,6.31071817880394,4.472490325371689,0.11900563216172556,3.2486269013823272,6.252646932569056,1.8284006261476626,-4.9639688486569336,-1.7096213695882911,-3.1958186851301096,-3.1101927819472572,-0.6553414731085655,-0.010178300072837128,0.35088401575049344,1.4647746997878761,2.7438833277321093,6.579306834164408,6.182227660394058,5.9837531225593805,-2.068185578661041,-3.258375770382677,-1.6288702177080678,0.5809013266740766,-0.8344038792811035,-5.227657077442836,-5.9392981953780515,-5.143406153345312,0.7968018505048692,1.911404911328989,-0.26471750560468565,-0.4388990011129504,0.3280768205935387,0.6517082709840615,-0.33134532349124124,-0.8500384855071091,-1.6756831880015812,-5.922713334991854,-1.6497842290493057,-2.9940774384263222,-0.3853703894183679,-2.626426713739784,-2.3388560570515597,-3.1493528673457636,-0.3716189866138524,-1.5180130557884903,-1.3947514391745135,-0.22399611092829727,-2.020309380620245,-2.105186697788421,-0.9362410925973278,-0.7595475098651578,-1
a0007,-23.874694465105364,-22.460403616713045,-22.02170378574405,-24.010858776270453,25.64185815418139,17.20247292276293,16.25175277041994,22.880001417832975,0.3190670754458696,1.709187891041809,1.8255566909118992,3.9194302530676732,-4.846965842317617,0.2742350490933598,1.4563404189768587,-0.3265865562224676,-8.651176587397133,-15.872580845879606,-12.120511488246716,-7.333248447608066,0.8714580836979299,0.3995994177873787,4.611653793682831,1.1704574990044379,-0.4298845893248009,-0.29925480540432403,-1.2955566032975574,-2.732154090555496,1.440893634170931,-0.29802441107012945,0.5336077659590689,0.8143676310713657,-3.3310051477606297,-2.5001795682327073,-2.301075683766964,-5.177525381324189,-4.477743970141811,-3.75542251773325,-3.0697283959219943,1.5868793356470714,3.507741483298077,-0.2891726616233649,-2.189155482918927,-0.40837418339956366,-0.9259120219841221,-2.672781722499902,0.2878093846316021,-2.9731741589182974,-4.5361673260561375,-4.460917981416305,-2.5501349624962195,-2.193009271769223,-1.386504838113486,-3.2157193081516753,-2.467939158355661,0.01739137024256917,-2.1395965801734547,-2.7745427046091153,-2.2588053196202544,-2.4737012910394967,-6.096797979132189,-3.543593006338025,-2.2696487026022862,-2.1017210222498344,1
a0008,-36.54598119600054,-38.2928519081604,-34.53473560642325,-37.48439437028232,15.715472777830378,16.36772710818607,12.59875504711488,13.753534225916676,13.095624809711403,15.35175136033148,10.827134140387592,14.818017302743414,10.422445017358232,10.3388115197351,7.676342682708083,14.705673766969202,3.249971629809288,1.2656552527967706,5.927679982970715,-1.3968133900646247,1.9363154054133471,2.7808542936504512,3.5303883826623883,4.811423127526045,-0.7396779237084387,-0.4663113268531913,-2.709084000913663,-0.03756649488151728,-5.557505984180075,-2.0440802502824154,0.6835908362183104,-6.049036213549183,-4.3974956964119984,-5.939451953744057,-4.445892082429407,-2.7466736700364347,-5.749973401714186,-5.947188244012072,-4.013047471075902,-7.30606309780497,-4.9782866738671565,-1.216101187864994,-3.1693007795193906,-3.177433566468823,-3.599539868254844,-3.089199184186335,-3.2263297670739215,-3.8127609122386334,-2.7256954889773204,-3.029237674721017,-1.1803983618067435,-1.6056518332826335,-1.1214211667451321,-0.4133169425013459,-1.129064832120053,-0.34206095545628074,-0.46608606362860017,1.1332068982859673,0.5922161263708826,-1.4490229899209512,1.6582426364756992,2.156608704500674,1.3566771650927132,1.4636721050519477,-1
a0009,-26.982935582932523,-29.74307039226622,-37.10209280685251,-31.29506024182443,0.0018675180282174068,0.11909722617877413,8.514872446344068,6.653095509750726,1.1664238865458574,1.6320892581135502,8.127305433460085,-2.914106075336864,2.327569587336196,2.7826154635871605,2.7671056259316393,5.327178672434617,-1.3231632430736133,-1.676366975635745,-0.5577505183917273,-1.482790258401703,-6.285069229384645,-7.012180447099508,-6.477331867996776,-6.373139596154928,-3.7355292223471634,-4.044371008303997,-6.134624943546862,-6.618310133890861,-1.306632907194214,1.0827159661858627,-4.664840743877899,-3.494143695199853,-3.7435947881778397,0.1585216348424262,-2.005859712945597,-1.817174747306049,-3.770822157330465,-1.3265980542096434,0.9350103399177729,-1.24715602445598,-3.689950435361729,0.21418402447921525,2.1460900623830526,-0.05877756711233162,-2.8526683963703237,0.8229418983692147,-1.075809750569698,0.7447224812227327,-2.790028760078789,-1.3167513502049197,-3.2273879977386293,0.1839632769721883,-1.4727628661674337,-1.9262106880123013,-0.5466143576066738,-1.0442977296841742,0.5802122437603104,-0.2771403853093898,0.7141834824527014,0.10163426603494449,2.1364122342157676,0.7936045122596814,0.21891641241479468,0.2420384346024746,1
a0010,-27.209553084821156,-27.669710014918735,-24.382084827066972,-30.562746911316317,9.168543934523408,11.857537712092352,-1.3409152873153805,12.027065616970527,-3.1603530739179955,-2.7907458537562633,3.6710830311374547,-1.8447418530288309,-10.163601242004775,-8.739533409260794,-7.5364338137066404,-3.4987075068442848,-4.086280567190915,-2.554488474424859,-3.1981974946916525,-0.9768606511250894,5.088270869470658,8.529563577293272,-1.743709418092465,0.26670475928058246,-9.336641568480243,-10.783146717361499,-2.741628393808095,-7.950754365303614,-4.44045037996241,-2.1961533863014,-6.737458742150455,-7.418101002342308,-0.6309988809142968,2.889330451736869,-1.2163043525626114,-2.340036353244077,4.244645583641851,4.650108211457499,-0.8383231039655007,1.0304901012692302,2.0000996983715247,0.8870327008783921,1.075456344599459,2.7856342520165622,-3.6159627475199168,-0.5462078469493581,-3.2656102613690994,-2.0653924741198377,-1.4364277241475947,1.50163255335983,-0.08033509303300569,-2.1248847044303973,0.6400909941099882,0.6263651430351813,0.21312402827387408,-0.40616280020864065,-2.23068293768328,-3.248402697745776,-1.4643707597830362,0.6732244842367515,-2.6622240451750936,-1.5529442469199382,-2.031882934025537,0.012357211511404214,-1
